Var_1,target
"0     -1.9872
1     -1.9700
2     -1.9509
3     -1.9078
4     -1.8986
        ...  
246   -1.8372
247   -1.8832
248   -1.9262
249   -1.9832
250   -1.9863
Length: 251, dtype: float64",1
"0     -1.8091
1     -1.8067
2     -1.7866
3     -1.7619
4     -1.7156
        ...  
246   -1.6958
247   -1.7624
248   -1.7871
249   -1.8083
250   -1.8091
Length: 251, dtype: float64",1
"0     -1.9698
1     -1.9818
2     -1.9434
3     -1.9013
4     -1.8787
        ...  
246   -1.8524
247   -1.9185
248   -1.9221
249   -1.9636
250   -1.9659
Length: 251, dtype: float64",1
"0     -1.6758
1     -1.6742
2     -1.6674
3     -1.6630
4     -1.5811
        ...  
246   -1.6692
247   -1.6723
248   -1.7225
249   -1.7234
250   -1.6776
Length: 251, dtype: float64",1
"0     -2.0000
1     -2.0029
2     -1.9696
3     -1.9355
4     -1.8781
        ...  
246   -1.8033
247   -1.8548
248   -1.9020
249   -1.9618
250   -1.9831
Length: 251, dtype: float64",1
"0     -2.1620
1     -2.1601
2     -2.1365
3     -2.0915
4     -2.0382
        ...  
246   -1.9990
247   -2.0230
248   -2.0915
249   -2.1215
250   -2.1601
Length: 251, dtype: float64",1
"0     -2.0692
1     -2.0677
2     -2.0495
3     -2.0294
4     -1.9493
        ...  
246   -1.9028
247   -1.9497
248   -1.9958
249   -2.0164
250   -2.0678
Length: 251, dtype: float64",1
"0     -1.8845
1     -1.8809
2     -1.8574
3     -1.8309
4     -1.7840
        ...  
246   -1.8248
247   -1.8479
248   -1.8695
249   -1.8711
250   -1.8879
Length: 251, dtype: float64",1
"0     -2.0288
1     -2.0099
2     -2.0063
3     -1.9627
4     -1.9347
        ...  
246   -1.8784
247   -1.9248
248   -1.9512
249   -2.0084
250   -2.0110
Length: 251, dtype: float64",1
"0     -1.8199
1     -1.8130
2     -1.8045
3     -1.8257
4     -1.8427
        ...  
246   -1.7725
247   -1.8062
248   -1.7852
249   -1.7873
250   -1.7866
Length: 251, dtype: float64",1
"0     -1.8515
1     -1.8436
2     -1.8209
3     -1.7898
4     -1.7636
        ...  
246   -1.7819
247   -1.8291
248   -1.8494
249   -1.8504
250   -1.8507
Length: 251, dtype: float64",1
"0     -1.6228
1     -1.6224
2     -1.5946
3     -1.5414
4     -1.5067
        ...  
246   -1.5446
247   -1.5492
248   -1.5632
249   -1.5944
250   -1.5959
Length: 251, dtype: float64",1
"0     -2.1830
1     -2.1270
2     -2.1029
3     -2.0337
4     -1.9821
        ...  
246   -2.0752
247   -2.1306
248   -2.1555
249   -2.1636
250   -2.1826
Length: 251, dtype: float64",1
"0     -1.8902
1     -1.9045
2     -1.9043
3     -1.8570
4     -1.8218
        ...  
246   -1.8002
247   -1.8065
248   -1.8408
249   -1.8589
250   -1.8743
Length: 251, dtype: float64",1
"0     -2.2003
1     -2.1845
2     -2.1533
3     -2.0843
4     -2.0369
        ...  
246   -2.0878
247   -2.1289
248   -2.1829
249   -2.2012
250   -2.2160
Length: 251, dtype: float64",1
"0     -2.0520
1     -2.0515
2     -2.0022
3     -1.9594
4     -1.9100
        ...  
246   -2.0104
247   -2.0493
248   -2.0525
249   -2.0546
250   -2.0553
Length: 251, dtype: float64",1
"0     -1.8214
1     -1.8014
2     -1.7802
3     -1.7557
4     -1.7315
        ...  
246   -1.7149
247   -1.7669
248   -1.7913
249   -1.8175
250   -1.8196
Length: 251, dtype: float64",1
"0     -1.7356
1     -1.7301
2     -1.6949
3     -1.6895
4     -1.6492
        ...  
246   -1.6822
247   -1.7111
248   -1.7132
249   -1.7131
250   -1.7356
Length: 251, dtype: float64",1
"0     -2.0683
1     -2.0494
2     -1.9998
3     -1.9463
4     -1.9139
        ...  
246   -1.9456
247   -2.0045
248   -2.0472
249   -2.0511
250   -2.0670
Length: 251, dtype: float64",1
"0     -1.9586
1     -1.9371
2     -1.8798
3     -1.8358
4     -1.7868
        ...  
246   -1.8935
247   -1.9144
248   -1.9370
249   -1.9583
250   -1.9596
Length: 251, dtype: float64",1
"0     -1.6961
1     -1.6806
2     -1.6574
3     -1.6443
4     -1.6187
        ...  
246   -1.6402
247   -1.6658
248   -1.6798
249   -1.6816
250   -1.6834
Length: 251, dtype: float64",2
"0     -1.7369
1     -1.7353
2     -1.7095
3     -1.6952
4     -1.6644
        ...  
246   -1.6777
247   -1.7090
248   -1.7261
249   -1.7388
250   -1.7369
Length: 251, dtype: float64",2
"0     -1.8963
1     -1.8777
2     -1.8509
3     -1.8363
4     -1.8040
        ...  
246   -1.8069
247   -1.8399
248   -1.8555
249   -1.8816
250   -1.8845
Length: 251, dtype: float64",2
"0     -1.6749
1     -1.6858
2     -1.6421
3     -1.6265
4     -1.6080
        ...  
246   -1.6120
247   -1.6436
248   -1.6717
249   -1.6733
250   -1.6745
Length: 251, dtype: float64",2
"0     -1.8298
1     -1.8433
2     -1.8132
3     -1.7794
4     -1.7608
        ...  
246   -1.7424
247   -1.7634
248   -1.7807
249   -1.8287
250   -1.8445
Length: 251, dtype: float64",2
"0     -1.8034
1     -1.7962
2     -1.7728
3     -1.7125
4     -1.6804
        ...  
246   -1.7736
247   -1.7784
248   -1.7958
249   -1.8123
250   -1.8082
Length: 251, dtype: float64",2
"0     -1.6729
1     -1.6837
2     -1.6643
3     -1.6619
4     -1.6218
        ...  
246   -1.6128
247   -1.6394
248   -1.6631
249   -1.6815
250   -1.6677
Length: 251, dtype: float64",2
"0     -1.8282
1     -1.8299
2     -1.8019
3     -1.7739
4     -1.7583
        ...  
246   -1.7326
247   -1.7832
248   -1.7840
249   -1.8135
250   -1.8284
Length: 251, dtype: float64",2
"0     -1.7761
1     -1.7900
2     -1.7530
3     -1.7400
4     -1.7126
        ...  
246   -1.7242
247   -1.7511
248   -1.7765
249   -1.7878
250   -1.7908
Length: 251, dtype: float64",2
"0     -1.5924
1     -1.5898
2     -1.5706
3     -1.5597
4     -1.5501
        ...  
246   -1.5242
247   -1.5604
248   -1.5739
249   -1.5831
250   -1.5923
Length: 251, dtype: float64",2
"0     -1.8902
1     -1.9055
2     -1.8857
3     -1.8801
4     -1.8557
        ...  
246   -1.8377
247   -1.8628
248   -1.9166
249   -1.9051
250   -1.9074
Length: 251, dtype: float64",2
"0     -2.4343
1     -2.4315
2     -2.3426
3     -2.2252
4     -2.1012
        ...  
246   -2.3576
247   -2.4040
248   -2.4596
249   -2.4922
250   -2.4644
Length: 251, dtype: float64",2
"0     -1.8955
1     -1.8728
2     -1.8633
3     -1.8111
4     -1.7542
        ...  
246   -1.8687
247   -1.8716
248   -1.8766
249   -1.9174
250   -1.8988
Length: 251, dtype: float64",2
"0     -1.7096
1     -1.7071
2     -1.6632
3     -1.6472
4     -1.6289
        ...  
246   -1.6453
247   -1.6778
248   -1.7066
249   -1.7084
250   -1.7102
Length: 251, dtype: float64",2
"0     -1.6425
1     -1.6378
2     -1.6359
3     -1.6216
4     -1.5904
        ...  
246   -1.5934
247   -1.6112
248   -1.6260
249   -1.6420
250   -1.6430
Length: 251, dtype: float64",2
"0     -1.6130
1     -1.6113
2     -1.5963
3     -1.5641
4     -1.5274
        ...  
246   -1.5581
247   -1.5792
248   -1.6114
249   -1.6275
250   -1.6283
Length: 251, dtype: float64",2
"0     -1.7677
1     -1.7506
2     -1.7444
3     -1.7378
4     -1.7401
        ...  
246   -1.6965
247   -1.7349
248   -1.7454
249   -1.7659
250   -1.7817
Length: 251, dtype: float64",2
"0     -1.8493
1     -1.8615
2     -1.8273
3     -1.8054
4     -1.7937
        ...  
246   -1.7706
247   -1.7953
248   -1.8068
249   -1.8287
250   -1.8622
Length: 251, dtype: float64",2
"0     -1.6633
1     -1.6207
2     -1.5787
3     -1.5331
4     -1.5078
        ...  
246   -1.5591
247   -1.5914
248   -1.6347
249   -1.6393
250   -1.6408
Length: 251, dtype: float64",2
"0     -1.7993
1     -1.7962
2     -1.7725
3     -1.7603
4     -1.7297
        ...  
246   -1.7540
247   -1.7512
248   -1.7781
249   -1.7864
250   -1.8127
Length: 251, dtype: float64",2
"0     -1.8981
1     -1.8790
2     -1.8566
3     -1.8160
4     -1.8048
        ...  
246   -1.8192
247   -1.8330
248   -1.8704
249   -1.8827
250   -1.8985
Length: 251, dtype: float64",2
"0     -1.7677
1     -1.7506
2     -1.7444
3     -1.7378
4     -1.7401
        ...  
246   -1.6965
247   -1.7349
248   -1.7454
249   -1.7659
250   -1.7817
Length: 251, dtype: float64",2
"0     -1.8091
1     -1.8066
2     -1.7908
3     -1.7761
4     -1.7698
        ...  
246   -1.7548
247   -1.7870
248   -1.8057
249   -1.8108
250   -1.8240
Length: 251, dtype: float64",2
"0     -1.7427
1     -1.7399
2     -1.7102
3     -1.6871
4     -1.6674
        ...  
246   -1.6848
247   -1.7161
248   -1.7463
249   -1.7542
250   -1.7428
Length: 251, dtype: float64",2
"0     -1.5894
1     -1.6010
2     -1.5789
3     -1.5666
4     -1.5397
        ...  
246   -1.5099
247   -1.5391
248   -1.5650
249   -1.5766
250   -1.5885
Length: 251, dtype: float64",2
"0     -1.8091
1     -1.8224
2     -1.7827
3     -1.7688
4     -1.7401
        ...  
246   -1.7564
247   -1.7698
248   -1.8127
249   -1.8101
250   -1.8233
Length: 251, dtype: float64",2
"0     -1.7022
1     -1.6888
2     -1.6789
3     -1.6693
4     -1.6635
        ...  
246   -1.6475
247   -1.6725
248   -1.6795
249   -1.6896
250   -1.7007
Length: 251, dtype: float64",2
"0     -1.8406
1     -1.8347
2     -1.8162
3     -1.8463
4     -1.8253
        ...  
246   -1.7405
247   -1.8645
248   -1.8683
249   -1.8475
250   -1.8525
Length: 251, dtype: float64",2
"0     -1.7601
1     -1.7798
2     -1.7421
3     -1.7056
4     -1.6604
        ...  
246   -1.7132
247   -1.7549
248   -1.7753
249   -1.7617
250   -1.7811
Length: 251, dtype: float64",2
"0     -1.7016
1     -1.7003
2     -1.6713
3     -1.6629
4     -1.6432
        ...  
246   -1.6487
247   -1.6549
248   -1.6751
249   -1.6844
250   -1.6869
Length: 251, dtype: float64",2
"0     -1.7569
1     -1.7713
2     -1.7309
3     -1.7180
4     -1.6731
        ...  
246   -1.7271
247   -1.7568
248   -1.7832
249   -1.7854
250   -1.7730
Length: 251, dtype: float64",2
"0     -1.6628
1     -1.6740
2     -1.6541
3     -1.6508
4     -1.6168
        ...  
246   -1.5549
247   -1.5811
248   -1.6093
249   -1.6344
250   -1.6362
Length: 251, dtype: float64",2
"0     -1.6106
1     -1.6097
2     -1.5854
3     -1.5557
4     -1.5273
        ...  
246   -1.5321
247   -1.5617
248   -1.5875
249   -1.6149
250   -1.6248
Length: 251, dtype: float64",2
"0     -1.9946
1     -1.9933
2     -1.9733
3     -1.9325
4     -1.9067
        ...  
246   -1.8695
247   -1.9015
248   -1.9287
249   -1.9707
250   -1.9921
Length: 251, dtype: float64",2
"0     -1.9096
1     -1.9089
2     -1.8936
3     -1.8819
4     -1.8496
        ...  
246   -1.7951
247   -1.8455
248   -1.8453
249   -1.8787
250   -1.9091
Length: 251, dtype: float64",2
"0     -2.0390
1     -2.0533
2     -2.0521
3     -2.0013
4     -1.9473
        ...  
246   -1.9639
247   -1.9852
248   -2.0199
249   -2.0073
250   -2.0251
Length: 251, dtype: float64",2
"0     -2.0616
1     -2.0949
2     -2.0942
3     -2.0613
4     -2.0252
        ...  
246   -2.0045
247   -2.0411
248   -2.0591
249   -2.0453
250   -2.0613
Length: 251, dtype: float64",2
"0     -1.8235
1     -1.8376
2     -1.8274
3     -1.8062
4     -1.7684
        ...  
246   -1.7406
247   -1.7541
248   -1.7789
249   -1.8017
250   -1.8215
Length: 251, dtype: float64",2
"0     -1.6354
1     -1.6213
2     -1.6102
3     -1.5998
4     -1.5774
        ...  
246   -1.5736
247   -1.5991
248   -1.6215
249   -1.6313
250   -1.6347
Length: 251, dtype: float64",2
"0     -0.65800
1     -0.63619
2     -0.60565
3     -0.56963
4     -0.53545
        ...   
246   -0.70689
247   -0.70580
248   -0.69534
249   -0.68590
250   -0.68031
Length: 251, dtype: float64",2
"0     -1.7667
1     -1.7632
2     -1.7155
3     -1.6982
4     -1.6767
        ...  
246   -1.6243
247   -1.6641
248   -1.7162
249   -1.7344
250   -1.7673
Length: 251, dtype: float64",2
"0     -1.6890
1     -1.6994
2     -1.6525
3     -1.6356
4     -1.5981
        ...  
246   -1.6561
247   -1.6867
248   -1.6902
249   -1.6911
250   -1.6912
Length: 251, dtype: float64",2
"0     -1.8055
1     -1.7985
2     -1.7606
3     -1.7359
4     -1.7151
        ...  
246   -1.7906
247   -1.7928
248   -1.7778
249   -1.7791
250   -1.7784
Length: 251, dtype: float64",2
"0     -1.8302
1     -1.8123
2     -1.8122
3     -1.7655
4     -1.7484
        ...  
246   -1.7140
247   -1.7650
248   -1.7821
249   -1.7971
250   -1.8280
Length: 251, dtype: float64",2
"0     -1.8109
1     -1.7934
2     -1.7792
3     -1.7467
4     -1.7470
        ...  
246   -1.6831
247   -1.7332
248   -1.7637
249   -1.7935
250   -1.7969
Length: 251, dtype: float64",2
"0     -1.7471
1     -1.7295
2     -1.7300
3     -1.7044
4     -1.6897
        ...  
246   -1.7063
247   -1.7189
248   -1.7455
249   -1.7590
250   -1.7612
Length: 251, dtype: float64",2
"0     -1.5317
1     -1.5413
2     -1.5150
3     -1.4948
4     -1.4705
        ...  
246   -1.5166
247   -1.5064
248   -1.5167
249   -1.5173
250   -1.5320
Length: 251, dtype: float64",2
"0     -1.7767
1     -1.7786
2     -1.7501
3     -1.7200
4     -1.6995
        ...  
246   -1.7164
247   -1.7305
248   -1.7552
249   -1.7765
250   -1.7883
Length: 251, dtype: float64",2
"0     -1.6251
1     -1.6230
2     -1.6261
3     -1.6108
4     -1.5686
        ...  
246   -1.5680
247   -1.5976
248   -1.6237
249   -1.6230
250   -1.6242
Length: 251, dtype: float64",2
"0     -1.6578
1     -1.6647
2     -1.6326
3     -1.6110
4     -1.5918
        ...  
246   -1.6786
247   -1.6668
248   -1.6675
249   -1.6818
250   -1.6786
Length: 251, dtype: float64",2
"0     -1.6033
1     -1.5874
2     -1.5774
3     -1.5560
4     -1.5312
        ...  
246   -1.5775
247   -1.5853
248   -1.6031
249   -1.6054
250   -1.6056
Length: 251, dtype: float64",2
"0     -1.7390
1     -1.7415
2     -1.7329
3     -1.7223
4     -1.6981
        ...  
246   -1.6365
247   -1.6699
248   -1.6999
249   -1.7131
250   -1.7282
Length: 251, dtype: float64",2
"0     -1.6307
1     -1.6299
2     -1.6206
3     -1.6078
4     -1.5797
        ...  
246   -1.5136
247   -1.5504
248   -1.5816
249   -1.5953
250   -1.6208
Length: 251, dtype: float64",2
